time,open,high,low,close,tick_volume,spread,real_volume
2024-10-29 03:00:00,2745.81,2752.36,2745.63,2752.11,5219,8,0
2024-10-29 04:00:00,2752.1,2757.76,2750.47,2753.0,4943,8,0
2024-10-29 05:00:00,2753.03,2753.34,2748.61,2751.7,4102,14,0
2024-10-29 06:00:00,2751.71,2755.28,2751.37,2754.79,2682,14,0
2024-10-29 07:00:00,2754.9,2756.89,2749.74,2749.96,4177,5,0
2024-10-29 08:00:00,2749.96,2756.51,2748.95,2755.81,4487,14,0
2024-10-29 09:00:00,2755.69,2756.37,2751.94,2752.42,3719,5,0
2024-10-29 10:00:00,2752.43,2755.02,2746.37,2754.59,4976,7,0
2024-10-29 11:00:00,2754.6,2756.65,2750.12,2752.48,4275,13,0
2024-10-29 12:00:00,2752.51,2753.19,2747.41,2749.84,4122,5,0
2024-10-29 13:00:00,2749.86,2753.33,2746.33,2751.75,4369,14,0
2024-10-29 14:00:00,2751.67,2753.43,2748.95,2749.29,4788,11,0
2024-10-29 15:00:00,2749.11,2763.95,2748.23,2759.91,5975,5,0
2024-10-29 16:00:00,2759.77,2771.72,2759.77,2769.53,6233,5,0
2024-10-29 17:00:00,2769.57,2770.47,2760.81,2764.24,5815,5,0
2024-10-29 18:00:00,2764.23,2770.21,2764.14,2769.37,4806,5,0
2024-10-29 19:00:00,2769.37,2772.54,2766.27,2769.73,4237,7,0
2024-10-29 20:00:00,2769.81,2773.55,2768.19,2772.95,3526,5,0
2024-10-29 21:00:00,2773.0,2774.75,2771.03,2772.27,3021,5,0
2024-10-29 22:00:00,2772.15,2774.75,2771.81,2774.44,1487,5,0
2024-10-30 00:00:00,2774.11,2775.16,2772.85,2774.5,1285,5,0
2024-10-30 01:00:00,2774.54,2775.12,2773.39,2774.96,1481,11,0
2024-10-30 02:00:00,2774.98,2779.15,2774.82,2778.13,3043,5,0
2024-10-30 03:00:00,2778.13,2782.21,2776.96,2781.74,4951,5,0
